Method,Nodes,Threads,Time
OpenMP,100,1,0.000418
OpenMP,100,2,0.000998
OpenMP,100,3,0.001136
OpenMP,100,4,0.001351
OpenMP,100,5,0.001294
OpenMP,100,6,0.001479
OpenMP,100,7,0.001933
OpenMP,100,8,0.003063
OpenMP,100,9,0.003792
OpenMP,100,10,0.004229
OpenMP,1000,1,0.004574
OpenMP,1000,2,0.009104
OpenMP,1000,3,0.008855
OpenMP,1000,4,0.009536
OpenMP,1000,5,0.010549
OpenMP,1000,6,0.013363
OpenMP,1000,7,0.018764
OpenMP,1000,8,0.022717
OpenMP,1000,9,0.023566
OpenMP,1000,10,0.027236
OpenMP,10000,1,0.258229
OpenMP,10000,2,0.227399
OpenMP,10000,3,0.201570
OpenMP,10000,4,0.182313
OpenMP,10000,5,0.243951
OpenMP,10000,6,0.262124
OpenMP,10000,7,0.255752
OpenMP,10000,8,0.276801
OpenMP,10000,9,0.303587
OpenMP,10000,10,0.341893
OpenMP,50000,1,6.891074
OpenMP,50000,2,4.226236
OpenMP,50000,3,3.367285
OpenMP,50000,4,2.655088
OpenMP,50000,5,3.437853
OpenMP,50000,6,3.579542
OpenMP,50000,7,3.089796
OpenMP,50000,8,3.295577
OpenMP,50000,9,2.999209
OpenMP,50000,10,3.248952
OpenMP,100000,1,28.670230
OpenMP,100000,2,16.141231
OpenMP,100000,3,11.439526
OpenMP,100000,4,9.930844
OpenMP,100000,5,11.307998
OpenMP,100000,6,11.293009
OpenMP,100000,7,10.544326
OpenMP,100000,8,9.682931
OpenMP,100000,9,9.713287
OpenMP,100000,10,10.351751
MPI,100,1,0.000118
MPI,100,2,0.000662
MPI,100,3,0.001052
MPI,100,4,0.000757
MPI,100,5,0.001162
MPI,100,6,0.001562
MPI,100,7,0.001593
MPI,100,8,0.000974
MPI,100,9,0.001405
MPI,100,10,0.001045
MPI,1000,1,0.001862
MPI,1000,2,0.001900
MPI,1000,3,0.002205
MPI,1000,4,0.001860
MPI,1000,5,0.002936
MPI,1000,6,0.003266
MPI,1000,7,0.003204
MPI,1000,8,0.002558
MPI,1000,9,0.012757
MPI,1000,10,0.004174
MPI,10000,1,0.194945
MPI,10000,2,0.099314
MPI,10000,3,0.069278
MPI,10000,4,0.051928
MPI,10000,5,0.081061
MPI,10000,6,0.071842
MPI,10000,7,0.069023
MPI,10000,8,0.061620
MPI,10000,9,0.092280
MPI,10000,10,0.108499
MPI,50000,1,6.194014
MPI,50000,2,3.023311
MPI,50000,3,1.926222
MPI,50000,4,1.441040
MPI,50000,5,2.137189
MPI,50000,6,1.985784
MPI,50000,7,1.849852
MPI,50000,8,2.013197
MPI,50000,9,2.018629
MPI,50000,10,3.457860
MPI,100000,1,25.405190
MPI,100000,2,13.365215
MPI,100000,3,8.842659
MPI,100000,4,6.921533
MPI,100000,5,8.907804
MPI,100000,6,7.422997
MPI,100000,7,6.481479
MPI,100000,8,6.572168
MPI,100000,9,6.475505
MPI,100000,10,7.334420
